,unit_id,p_date,p_hourmin,exp_tag,unit_tag,target_cost,cost_total,cvt_cnt,auto_cpa_bid,target_bid,imp,click
0,63373554,20200523,900,exp1,exp,0,0.28565,0,6960,5800,52,11
1,63048299,20200523,900,base1,ctrl,0,0.08845,0,13589.4,11324.5,50,4
2,62341574,20200523,900,exp1,exp,0,0.1363,0,85260,71050,129,4
3,63293196,20200523,900,base1,ctrl,0,1.61675,0,16164.6,13470.5,804,11
4,63145977,20200523,900,base1,ctrl,0,0.7018,0,18357,15297.5,60,3
5,62565387,20200523,900,exp1,exp,0,0.00725,0,34495.5,34495.5,0,0
6,62441099,20200523,900,exp1,exp,0,0.377,0,211140.1996,290000,633,33
7,62519179,20200523,900,base1,ctrl,0,0.2407,0,12869.61597,13775,0,0
8,63390614,20200523,900,exp1,exp,0,4.3529,0,21150.15479,21025,910,93
9,62605684,20200523,900,base1,exp,0,0.14935,0,7761.167647,8990,0,0
10,63649402,20200523,900,base1,ctrl,0,0.1827,0,75479.75,62901,1824,21
11,63299182,20200523,900,exp1,exp,0,1.40215,0,105548.4,87957,954,17
12,63375154,20200523,900,exp1,exp,0,0.2494,0,13224,13775,0,0
13,63198680,20200523,900,base1,ctrl,0,0.1073,0,7250,7250,0,0
14,63730928,20200523,900,exp1,ctrl,0,0.203,0,13775,13775,0,0
15,63634292,20200523,900,base1,exp,37.8885,24.18455,3,13780.71711,12629.5,0,0
16,63157769,20200523,900,base1,ctrl,0,0.0754,0,36076,36076,0,0
17,63857139,20200523,900,base1,ctrl,0,0.00145,0,69582.6,57985.5,137,1
18,62393601,20200523,900,base1,ctrl,0,1.37025,0,38216.2,37497,511,38
19,63134225,20200523,900,base1,ctrl,0,0.232,0,11614.5,11614.5,0,0
20,63021435,20200523,900,exp1,exp,0,7.44865,0,54131.4,45109.5,1295,28
21,63873882,20200523,900,base1,ctrl,0,0.05945,0,57420,47850,96,3
22,63019888,20200523,900,exp1,exp,0,0.029,0,12609.2725,13775,0,0
23,62327010,20200523,900,exp1,exp,0,0,0,78978.6,65815.5,7,0
24,62420627,20200523,900,base1,exp,0,0.01015,0,40036.008,36264.5,0,0
25,62320484,20200523,900,exp1,exp,0,0.11455,0,16147.2,13456,48,6
26,62518918,20200523,900,exp1,exp,0,7.66905,0,18492.75305,15950,1148,112
27,63131791,20200523,900,exp1,exp,0,6.90925,0,18771.19486,19720,0,0
28,63254852,20200523,900,exp1,exp,0,2.8565,0,72151.81737,72311.5,416,51
29,62472434,20200523,900,exp1,exp,0,0.72645,0,13046.11896,13050,0,0
30,63236482,20200523,900,base1,ctrl,0,0.3074,0,13775,13775,0,0
