,unit_id,p_date,unit_tag,target_cost,cost_total,cvt_cnt,auto_cpa_bid,target_bid,imp,click
0,68992109,20200602,exp,18,3.002,1,4412.568954,12857.14286,0,0
1,69757353,20200602,ctrl,0,0.228,0,7142.857143,7142.857143,0,0
2,69563126,20200602,exp,0,0.636,0,3750.715227,3714.285714,0,0
3,69592895,20200602,exp,0,0.04,0,55808.1692,45793.57143,634,11
4,69076023,20200602,exp,0,0.034,0,5238.571429,6971.428571,0,0
5,69719992,20200602,exp,34,30.326,1,25045.80273,24285.71429,22855,703
6,69675715,20200602,ctrl,0,5.988,0,6076.527144,7221.428571,0,0
7,69543772,20200602,ctrl,0,3.458,0,20357.14286,20357.14286,0,0
8,69071072,20200602,exp,0,1.035,0,7864.855086,7142.857143,1072,50
9,69261167,20200602,exp,0,0.018,0,6000,6000,0,0
10,69358479,20200602,exp,0,2.959,0,22078.57143,22078.57143,5323,32
11,69295568,20200602,exp,0,0.224,0,25000,25000,118,2
12,69611678,20200602,ctrl,0,0.146,0,6932.142857,7221.428571,0,0
13,69679097,20200602,ctrl,0,0.439,0,7000,7000,0,0
14,69142428,20200602,exp,0,0.206,0,5650,5650,0,0
15,69003957,20200602,ctrl,0,7.402,0,64281.17869,35714.28571,3178,122
16,69175015,20200602,exp,0,0.037,0,189018.5714,142871.4286,439,26
17,69381339,20200602,ctrl,0,0.077,0,6951.428571,7857.142857,0,0
18,69065269,20200602,exp,0,1.726,0,10545.08472,10714.28571,0,0
19,53678899,20200602,ctrl,2.8,4.051,1,2176.839806,2000,5344,318
20,69305556,20200602,ctrl,0,0.945,0,47442.85714,26357.14286,1641,102
21,68675605,20200602,exp,0,0.044,0,4073.571429,4285.714286,0,0
22,69264264,20200602,exp,8,0.418,1,5764.285714,5714.285714,0,0
23,69522506,20200602,exp,7.5,4.079,1,6041.327928,5357.142857,2433,160
24,69676865,20200602,exp,0,1.724,0,7142.857143,7142.857143,0,0
25,69717121,20200602,exp,0,0.978,0,11142.85714,9285.714286,506,83
26,69775659,20200602,ctrl,0,6.91,0,3285.667204,3715.919431,149,8
27,69233304,20200602,exp,0,0.085,0,6924.533528,7535.714286,0,0
28,69383223,20200602,ctrl,0,0.595,0,28229.10138,23542.97235,809,23
29,69219962,20200602,exp,0,0.207,0,6945.714286,7142.857143,0,0
30,68521265,20200602,ctrl,0,1.553,0,8327.578085,7850,0,0
