,unit_id,p_date,unit_tag,target_cost,cost_total,cvt_cnt,auto_cpa_bid,target_bid,imp,click
0,38898514,20200517,base,51.04,15.8544,1,52611.07062,51040,2080,253
1,37836134,20200517,base,0,23.1768,0,421871.4564,359040,1310,150
2,38232328,20200517,base,0,112.3524,0,198806.4,168740,13050,244
3,37981522,20200517,base,0,49.8636,0,433243.0895,375210,1250,160
4,38489334,20200517,base,0,0.1404,0,36720,37400,0,0
5,38103108,20200517,base,27.39,26.5896,1,24004.74159,27390,0,0
6,38453916,20200517,base,178.75,660.204,5,33740.75394,35750,109,11
7,38034124,20200517,base,55.33,36.0828,2,33314.58925,27665,22361,463
8,38903342,20200517,base,412.5,370.791,1,485840.5512,412500,841,35
9,38879174,20200517,exp,66.605,142.2738,1,66239.95446,66605,17621,3361
10,38450750,20200517,exp,66.22,128.709,4,19095.32376,16555,7083,391
11,38725984,20200517,exp,0,3.186,0,47574,48455,0,0
12,38606948,20200517,exp,103.62,21.519,4,21001.87212,25905,3497,726
13,38553150,20200517,exp,60.5,51.759,2,24060.08636,30250,0,0
14,38247350,20200517,exp,0,0.2052,0,72670.82927,66550,35,1
15,37957318,20200517,base,0,11.7558,0,72878.77575,62425,2330,105
16,38938510,20200517,base,0,36.828,0,44219.4637,46750,0,0
17,38679178,20200517,exp,184.36,323.4276,4,50043.99407,46090,30194,4675
18,38606348,20200517,exp,0,122.364,0,245067.0772,209000,140608,3744
19,38021910,20200517,base,0,32.7942,0,282398.4,239690,4728,73
20,38520528,20200517,base,0,284.8284,0,217193.8595,221210,0,0
